Long°_95/96	Lat°_95/96
	
9.218383333	74.50163333
9.215966667	74.49675
9.21165	74.49165
9.209183333	74.48868333
9.204833333	74.48328333
9.202566667	74.47971667
9.199466667	74.47533333
9.19685	74.47055
9.193183333	74.46618333
9.189766667	74.46173333
9.188766667	74.45725
9.183516667	74.45273333
9.18045	74.44795
9.204283333	74.44186667
9.214683333	74.43856667
9.237516667	74.4325
9.247766667	74.42905
9.259916667	74.42606667
9.287116667	74.41865
9.298283333	74.41543333
9.308983333	74.4119
9.331383333	74.40558333
9.345683333	74.40216667
9.3551	74.39888333
9.379483333	74.39261667
9.390666667	74.38923333
9.413466667	74.38276667
9.426666667	74.37921667
9.437466667	74.37573333
0	0
9.426766667	74.36623333
9.382233333	74.36171667
9.350466667	74.35826667
9.289633333	74.35271667
9.25855	74.34795
9.23	74.34358333
9.202216667	74.33801667
9.193433333	74.3345
9.182883333	74.33078333
9.172833333	74.32728333
9.151916667	74.3201
9.152733333	74.31571667
9.15445	74.31088333
9.153783333	74.30563333
9.15125	74.30213333
9.15075	74.29918333
9.14935	74.29411667
9.1469	74.2897
9.14535	74.28488333
9.145916667	74.28053333
9.164066667	74.27471667
9.17505	74.27138333
9.197933333	74.26516667
9.209183333	74.26218333
9.231666667	74.25605
9.261766667	74.25226667
9.320483333	74.24718333
9.368666667	74.24138333
9.405183333	74.23741667
9.43785	74.23326667
9.4722	74.2298
9.50415	74.226
9.535316667	74.22295
9.566666667	74.21966667
9.632166667	74.21221667
9.681	74.20721667
9.710883333	74.20323333
9.744933333	74.19886667
0	0
9.74555	74.18928333
9.7453	74.18341667
9.743883333	74.17903333
0	0
9.745233333	74.17493333
9.743266667	74.16983333
9.742166667	74.16481667
9.742866667	74.15976667
9.7413	74.15395
9.740116667	74.14928333
9.740883333	74.14488333
9.74045	74.13968333
0	0
9.739616667	74.1341
9.73915	74.13003333
9.739766667	74.1249
9.740283333	74.11943333
9.741366667	74.1152
9.740983333	74.111
9.741516667	74.10618333
9.73975	74.10148333
9.737933333	74.09666667
9.738716667	74.09145
9.7378	74.08598333
9.737233333	74.08191667
9.736733333	74.07555
9.736616667	74.07096667
9.73605	74.06621667
9.735733333	74.06118333
